"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"938","55U","1","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: CORSO FARINI, PASSAGGI SERALI","frequenza","horizontal","55U_As","1","","0","0"
"939","55U","1","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: CORSO FARINI, PASSAGGI MATTUTINI","frequenza","horizontal","55U_As","2","","0","0"
"940","55U","1","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: CORSO FARINI, PASSAGGI SERALI","frequenza","horizontal","55U_As","3","","0","0"
"941","55U","1","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: CORSO FARINI, PASSAGGI MATTUTINI","frequenza","horizontal","55U_As","4","","0","0"
"942","55U","1","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: CORSO FARINI, PASSAGGI SERALI","frequenza","horizontal","55U_As","5","","0","0"
"943","55U","0","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: VIA MONCALIERI (GRUGLIASCO), PASSAGGI MATTUTINI","frequenza","horizontal","55U_Di","0","","0","0"
"944","55U","0","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: VIA MONCALIERI (GRUGLIASCO), PASSAGGI SERALI","frequenza","horizontal","55U_Di","1","","0","0"
"945","55U","0","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: VIA MONCALIERI (GRUGLIASCO), PASSAGGI MATTUTINI","frequenza","horizontal","55U_Di","2","","0","0"
"946","55U","0","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: VIA MONCALIERI (GRUGLIASCO), PASSAGGI SERALI","frequenza","horizontal","55U_Di","3","","0","0"
"947","55U","0","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: VIA MONCALIERI (GRUGLIASCO), PASSAGGI MATTUTINI","frequenza","horizontal","55U_Di","4","","0","0"
"948","55U","0","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: VIA MONCALIERI (GRUGLIASCO), PASSAGGI SERALI","frequenza","horizontal","55U_Di","5","","0","0"
"949","56U","1","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: LARGO TABACCHI, PASSAGGI MATTUTINI","frequenza","horizontal","56U_As","0","","0","0"
"950","56U","1","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: LARGO TABACCHI, PASSAGGI SERALI","frequenza","horizontal","56U_As","1","","0","0"
"951","56U","1","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: LARGO TABACCHI, PASSAGGI MATTUTINI","frequenza","horizontal","56U_As","2","","0","0"
"952","56U","1","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: LARGO TABACCHI, PASSAGGI SERALI","frequenza","horizontal","56U_As","3","","0","0"
